rank,Youtuber,subscribers,video views,video count,category,started
55,Hausgemachte Rezepte,"4,010,000","718,272,915",554,People & Blogs,2020
56,Keluarga Bahagia Di Jerman,"3,960,000","796,365,101","1,021",People & Blogs,2013
57,Dagi Bee,"3,900,000","1,072,868,773",664,Howto & Style,2012
58,iCrimax,"3,850,000","2,266,001,019","3,719",Gaming,2013
59,Fox Family - Official Channel,"3,840,000","1,098,619,128",855,Entertainment,2014
60,Freshtorge,"3,790,000","1,721,122,203","1,002",Comedy,2009
61,GermanLetsPlay,"3,740,000","2,680,488,362","6,905",Gaming,2010
62,Robin Schulz,"3,740,000","4,271,593,171",547,Music,2011
63,Family Bros,"3,700,000","832,837,433",33,Entertainment,2019
64,BBlocks,"3,690,000","1,179,106,836",146,Gaming,2019
65,Maryna Aksenov,"3,680,000","2,863,301,815","2,750",Music,2011
66,Ikram Bellanova,"3,640,000","483,790,985",405,Howto & Style,2011
67,ungespielt,"3,620,000","2,127,765,137","4,899",Gaming,2012
68,Werner Worldwide,"3,580,000","2,608,099,639",11,Entertainment,2023
69,ApeCrime,"3,550,000","1,155,725,333",700,Entertainment,2011
70,Hakimcecil,"3,550,000","1,782,541,670","1,199",Film & Animation,2020
71,Standart Skill,"3,520,000","2,096,555,372","4,021",Gaming,2013
72,EUROPA Kinderprogramm,"3,470,000","1,427,326,138",424,Film & Animation,2010
73,MERO,"3,420,000","1,563,866,018",73,People & Blogs,2018
74,rewinside,"3,410,000","2,112,546,956","4,973",Gaming,2013
75,AirwaveMusicTV,"3,390,000","1,404,282,582","4,215",Music,2011
76,FunChannel,"3,390,000","2,587,808,079",833,Sports,2016
77,LAMI,"3,320,000","1,099,124,929","2,018",Gaming,2019
78,ClayClaim,"3,270,000","515,362,075",661,Entertainment,2015
79,TITus BOSS BABY,"3,260,000","60,223,989",19,Entertainment,2010
80,Nuclear Blast Records,"3,240,000","3,305,898,527","6,952",Music,2006
81,Dhruv Rathee Vlogs,"3,210,000","532,462,288",222,People & Blogs,2020
82,Felix von der Laden,"3,200,000","1,465,013,539","4,020",Gaming,2011
83,Caro Kowanz English,"3,190,000","1,533,341,321",483,Education,2022
84,marsgizmo,"3,100,000","4,127,105,317",536,Entertainment,2018
85,JoergSprave,"3,080,000","593,657,591","1,308",Science & Technology,2008
86,AviveHD,"3,060,000","1,233,262,052","3,094",Gaming,2012
87,Hurra Kinderlieder,"3,040,000","2,986,610,525",273,Entertainment,2014
88,Like Nastya DE,"3,020,000","1,061,903,350",671,Entertainment,2019
89,BangerChannel,"3,000,000","2,135,587,900",900,Entertainment,2010
90,BUSHIDO,"3,000,000","1,633,836,225",243,Entertainment,2005
91,asmr zeitgeist,"3,000,000","724,940,402",350,Entertainment,2015
92,Elif Karaman,"2,990,000","649,060,810",349,Entertainment,2014
93,MontanaBlack,"2,970,000","340,913,389",377,People & Blogs,2009
94,MurkXtreme Shorts,"2,960,000","2,278,925,828",235,Entertainment,2020
95,RC RC RC!!!,"2,940,000","1,283,299,468","2,041",People & Blogs,2016
96,Elif Foods,"2,940,000","1,792,036,493",347,People & Blogs,2020
97,Uyen Ninh,"2,920,000","5,363,263,070",787,Comedy,2021
98,JONAS,"2,910,000","888,219,844","1,292",Entertainment,2011
99,Mayapolarbear,"2,910,000","559,468,201",214,Pets & Animals,2018
